conv_layer_1;conv_layer_2;dense_layer_1;dense_layer_2;drop_out_1;drop_out_2;id_simu
16;64;64;32;0.4;0.3;409
16;64;64;32;0.4;0.4;410
16;64;64;32;0.4;0.5;411
16;64;64;32;0.5;0.2;412
16;64;64;32;0.5;0.3;413
16;64;64;32;0.5;0.4;414
16;64;64;32;0.5;0.5;415
16;64;64;64;0.2;0.2;416
16;64;64;64;0.2;0.3;417
16;64;64;64;0.2;0.4;418
16;64;64;64;0.2;0.5;419
16;64;64;64;0.3;0.2;420
16;64;64;64;0.3;0.3;421
16;64;64;64;0.3;0.4;422
16;64;64;64;0.3;0.5;423
16;64;64;64;0.4;0.2;424
16;64;64;64;0.4;0.3;425
16;64;64;64;0.4;0.4;426
16;64;64;64;0.4;0.5;427
16;64;64;64;0.5;0.2;428
16;64;64;64;0.5;0.3;429
16;64;64;64;0.5;0.4;430
16;64;64;64;0.5;0.5;431
32;16;16;16;0.2;0.2;432
32;16;16;16;0.2;0.3;433
32;16;16;16;0.2;0.4;434
32;16;16;16;0.2;0.5;435
32;16;16;16;0.3;0.2;436
32;16;16;16;0.3;0.3;437
32;16;16;16;0.3;0.4;438
32;16;16;16;0.3;0.5;439
32;16;16;16;0.4;0.2;440
32;16;16;16;0.4;0.3;441
32;16;16;16;0.4;0.4;442
32;16;16;16;0.4;0.5;443
32;16;16;16;0.5;0.2;444
32;16;16;16;0.5;0.3;445
32;16;16;16;0.5;0.4;446
32;16;16;16;0.5;0.5;447
32;16;16;32;0.2;0.2;448
32;16;16;32;0.2;0.3;449
32;16;16;32;0.2;0.4;450
32;16;16;32;0.2;0.5;451
32;16;16;32;0.3;0.2;452
32;16;16;32;0.3;0.3;453
32;16;16;32;0.3;0.4;454
32;16;16;32;0.3;0.5;455
32;16;16;32;0.4;0.2;456
32;16;16;32;0.4;0.3;457
32;16;16;32;0.4;0.4;458
32;16;16;32;0.4;0.5;459
32;16;16;32;0.5;0.2;460
32;16;16;32;0.5;0.3;461
32;16;16;32;0.5;0.4;462
32;16;16;32;0.5;0.5;463
32;16;16;64;0.2;0.2;464
32;16;16;64;0.2;0.3;465
32;16;16;64;0.2;0.4;466
32;16;16;64;0.2;0.5;467
32;16;16;64;0.3;0.2;468
32;16;16;64;0.3;0.3;469
32;16;16;64;0.3;0.4;470
32;16;16;64;0.3;0.5;471
32;16;16;64;0.4;0.2;472
32;16;16;64;0.4;0.3;473
32;16;16;64;0.4;0.4;474
32;16;16;64;0.4;0.5;475
32;16;16;64;0.5;0.2;476
32;16;16;64;0.5;0.3;477
32;16;16;64;0.5;0.4;478
32;16;16;64;0.5;0.5;479
32;16;32;16;0.2;0.2;480
32;16;32;16;0.2;0.3;481
32;16;32;16;0.2;0.4;482
32;16;32;16;0.2;0.5;483
32;16;32;16;0.3;0.2;484
32;16;32;16;0.3;0.3;485
32;16;32;16;0.3;0.4;486
32;16;32;16;0.3;0.5;487
32;16;32;16;0.4;0.2;488
32;16;32;16;0.4;0.3;489
32;16;32;16;0.4;0.4;490
32;16;32;16;0.4;0.5;491
32;16;32;16;0.5;0.2;492
32;16;32;16;0.5;0.3;493
32;16;32;16;0.5;0.4;494
32;16;32;16;0.5;0.5;495
32;16;32;32;0.2;0.2;496
32;16;32;32;0.2;0.3;497
32;16;32;32;0.2;0.4;498
32;16;32;32;0.2;0.5;499
32;16;32;32;0.3;0.2;500
32;16;32;32;0.3;0.3;501
32;16;32;32;0.3;0.4;502
32;16;32;32;0.3;0.5;503
32;16;32;32;0.4;0.2;504
32;16;32;32;0.4;0.3;505
32;16;32;32;0.4;0.4;506
32;16;32;32;0.4;0.5;507
32;16;32;32;0.5;0.2;508
32;16;32;32;0.5;0.3;509
32;16;32;32;0.5;0.4;510
32;16;32;32;0.5;0.5;511
32;16;32;64;0.2;0.2;512
32;16;32;64;0.2;0.3;513
32;16;32;64;0.2;0.4;514
32;16;32;64;0.2;0.5;515
32;16;32;64;0.3;0.2;516
32;16;32;64;0.3;0.3;517
32;16;32;64;0.3;0.4;518
32;16;32;64;0.3;0.5;519
32;16;32;64;0.4;0.2;520
32;16;32;64;0.4;0.3;521
32;16;32;64;0.4;0.4;522
32;16;32;64;0.4;0.5;523
32;16;32;64;0.5;0.2;524
32;16;32;64;0.5;0.3;525
32;16;32;64;0.5;0.4;526
32;16;32;64;0.5;0.5;527
32;16;64;16;0.2;0.2;528
32;16;64;16;0.2;0.3;529
32;16;64;16;0.2;0.4;530
32;16;64;16;0.2;0.5;531
32;16;64;16;0.3;0.2;532
32;16;64;16;0.3;0.3;533
32;16;64;16;0.3;0.4;534
32;16;64;16;0.3;0.5;535
32;16;64;16;0.4;0.2;536
32;16;64;16;0.4;0.3;537
32;16;64;16;0.4;0.4;538
32;16;64;16;0.4;0.5;539
32;16;64;16;0.5;0.2;540
32;16;64;16;0.5;0.3;541
32;16;64;16;0.5;0.4;542
32;16;64;16;0.5;0.5;543
32;16;64;32;0.2;0.2;544
32;16;64;32;0.2;0.3;545
32;16;64;32;0.2;0.4;546
32;16;64;32;0.2;0.5;547
32;16;64;32;0.3;0.2;548
32;16;64;32;0.3;0.3;549
32;16;64;32;0.3;0.4;550
32;16;64;32;0.3;0.5;551
32;16;64;32;0.4;0.2;552
32;16;64;32;0.4;0.3;553
32;16;64;32;0.4;0.4;554
32;16;64;32;0.4;0.5;555
32;16;64;32;0.5;0.2;556
32;16;64;32;0.5;0.3;557
32;16;64;32;0.5;0.4;558
32;16;64;32;0.5;0.5;559
32;16;64;64;0.2;0.2;560
32;16;64;64;0.2;0.3;561
32;16;64;64;0.2;0.4;562
32;16;64;64;0.2;0.5;563
32;16;64;64;0.3;0.2;564
32;16;64;64;0.3;0.3;565
32;16;64;64;0.3;0.4;566
32;16;64;64;0.3;0.5;567
32;16;64;64;0.4;0.2;568
32;16;64;64;0.4;0.3;569
32;16;64;64;0.4;0.4;570
32;16;64;64;0.4;0.5;571
32;16;64;64;0.5;0.2;572
32;16;64;64;0.5;0.3;573
32;16;64;64;0.5;0.4;574
32;16;64;64;0.5;0.5;575
32;32;16;16;0.2;0.2;576
32;32;16;16;0.2;0.3;577
32;32;16;16;0.2;0.4;578
32;32;16;16;0.2;0.5;579
32;32;16;16;0.3;0.2;580
32;32;16;16;0.3;0.3;581
